Brand,Ship Code,Ship Name,Deck Code,Deck Name,Deck Number
R,GR,GRANDEUR OF THE SEAS,BR,DECK EIGHT,8
R,GR,GRANDEUR OF THE SEAS,SD,DECK NINE,9
R,GR,GRANDEUR OF THE SEAS,CD,DECK TEN,10
R,GR,GRANDEUR OF THE SEAS,VC,DECK ELEVEN,11
R,GR,GRANDEUR OF THE SEAS,SH,DECK TWELVE,12
R,HM,HARMONY OF THE SEAS,07,DECK SEVEN,7
R,HM,HARMONY OF THE SEAS,06,DECK SIX,6
R,HM,HARMONY OF THE SEAS,03,DECK THREE,3
R,HM,HARMONY OF THE SEAS,04,DECK FOUR,4
R,HM,HARMONY OF THE SEAS,08,DECK EIGHT,8
R,HM,HARMONY OF THE SEAS,05,DECK FIVE,5
R,HM,HARMONY OF THE SEAS,09,DECK NINE,9
R,HM,HARMONY OF THE SEAS,18,DECK EIGHTEEN,18
R,HM,HARMONY OF THE SEAS,11,DECK ELEVEN,11
R,HM,HARMONY OF THE SEAS,12,DECK TWELVE,12
R,HM,HARMONY OF THE SEAS,14,DECK FOURTEEN,14
R,HM,HARMONY OF THE SEAS,15,DECK FIFTEEN,15
R,HM,HARMONY OF THE SEAS,16,DECK SIXTEEN,16
R,HM,HARMONY OF THE SEAS,17,DECK SEVENTEEN,17
R,HM,HARMONY OF THE SEAS,10,DECK TEN,10
R,IC,ICON OF THE SEAS,07,DECK SEVEN,7
R,IC,ICON OF THE SEAS,08,DECK EIGHT,8
R,IC,ICON OF THE SEAS,06,DECK SIX,6
R,IC,ICON OF THE SEAS,09,DECK NINE,9
R,IC,ICON OF THE SEAS,04,DECK FOUR,4
R,IC,ICON OF THE SEAS,03,DECK THREE,3
R,IC,ICON OF THE SEAS,02,DECK TWO,2
R,IC,ICON OF THE SEAS,05,DECK FIVE,5
R,IC,ICON OF THE SEAS,10,DECK TEN,10
R,IC,ICON OF THE SEAS,17,DECK SEVENTEEN,17
R,IC,ICON OF THE SEAS,12,DECK TWELVE,12
R,IC,ICON OF THE SEAS,20,DECK TWENTY,20
R,IC,ICON OF THE SEAS,18,DECK EIGHTEEN,18
R,IC,ICON OF THE SEAS,11,DECK ELEVEN,11
R,IC,ICON OF THE SEAS,19,DECK NINETEEN,19
R,IC,ICON OF THE SEAS,15,DECK FIFTEEN,15
R,IC,ICON OF THE SEAS,14,DECK FOURTEEN,14
R,IC,ICON OF THE SEAS,16,DECK SIXTEEN,16
R,ID,INDEPENDENCE OF THE SEAS,07,DECK SEVEN,7
R,ID,INDEPENDENCE OF THE SEAS,02,DECK TWO,2
R,ID,INDEPENDENCE OF THE SEAS,04,DECK FOUR,4
